isbn,title,author,year
1419710206,El Deafo,"Cece Bell, David Lasky",2014
0345327861,Crystal Singer,Anne McCaffrey,1982
1250076420,The Forgetting Time,Sharon Guskin,2016
0156904365,Till We Have Faces,C.S. Lewis,1956
0142501093,The Legend of Luke,Brian Jacques,1999
0224097008,H is for Hawk,Helen Macdonald,2015
0060724560,Princess on the Brink,Meg Cabot,2006
0670060291,When It Happens,Susane Colasanti,2006
0312593317,Boomerang,Tatiana de Rosnay,2009
174166134X,The Siege of Macindaw,John Flanagan,2006
0452282829,We Were the Mulvaneys,Joyce Carol Oates,1996
0843958448,Dark Gold (Dark #3),Christine Feehan,2000
1423118235,The Demon King,Cinda Williams Chima,2009
0425263150,Midnight Crossroad,Charlaine Harris,2014
0399175164,The Obsession,Nora Roberts,2016
055327094X,QB VII,Leon Uris,1970
0449912558,The Sparrow,Mary Doria Russell,1996
1606840576,The Dark Divine,Bree Despain,2009
1523662441,RoomHate,Penelope Ward,2016
0061119725,From Head to Toe,Eric Carle,1997
0061161705,Unseen Academicals,Terry Pratchett,2009
0375700455,The First World War,John Keegan,1998
0553584707,Catering to Nobody,Diane Mott Davidson,1990
080413717X,City of Stairs,Robert Jackson Bennett,2014
0143036378,Disgrace,J.M. Coetzee,1999
1416974504,"Night World, No. 1",L.J. Smith,2008
0385741391,The Eye of Minds,James Dashner,2013
0316069515,The Gods of Guilt,Michael Connelly,2013
044101268X,Furies of Calderon ,Jim Butcher,2004
0515122734,Sanctuary,Nora Roberts,1997
0345450744,Between Sisters,Kristin Hannah,2003
1627795944,The North Water,Ian McGuire,2016
0743211375,From a Buick 8,Stephen King,2002
0552152978,Small Gods,Terry Pratchett,1992
0679747656,The Way to Cook,Julia Child,1989
031215125X,The Far Pavilions,M.M. Kaye,1978
1573227889,Tipping the Velvet,Sarah Waters,1998
0385333781,Player Piano,Kurt Vonnegut Jr.,1952
0756404738,The Wise Man's Fear,Patrick Rothfuss,2011
0312156960,The Winter King,Bernard Cornwell,1995
0060652942,The Abolition of Man,C.S. Lewis,1943
0679723692,Cathedral,Raymond Carver,1983
0312383282,Finger Lickin' Fifteen,Janet Evanovich,2009
0385491026,Cat's Eye,Margaret Atwood,1988
0671004549,You Belong to Me,Mary Higgins Clark,1998
0553804790,The Husband,Dean Koontz,2006
0679722637,The Thin Man,Dashiell Hammett,1934
1559363304,August: Osage County,Tracy Letts,2008
0425224201,Just the Sexiest Man Alive,Julie James,2008
0375832998,Boy Meets Boy,David Levithan,2003
0486410226,The Railway Children,E. Nesbit,1906
0553281747,Mona Lisa Overdrive,William Gibson,1988
0425144372,Clear and Present Danger,Tom Clancy,1989
0385720920,Choke,Chuck Palahniuk,2001
0452269652,Jazz,Toni Morrison,1992
0345379624,Running with the Demon,Terry Brooks,1997
0743294254,Certain Girls,Jennifer Weiner,2000
0618194576,Flotsam,David Wiesner,2006
0689861133,"Moo, Baa, La La La!",Sandra Boynton,1982
0679457143,The Cobra Event,Richard   Preston,1997
074341196X,Inversions,Iain M. Banks,1998
0007158513,I Can Read with My Eyes Shut!,Dr. Seuss,1978
0373773927,The Darkest Whisper,Gena Showalter,2009
0312421435,No Logo,Naomi Klein,1999
1416563067,Smoke Screen,Sandra Brown,2008
055299877X,More Tales of the City,Armistead Maupin,1980
0451219422,The Omen,David Seltzer,1976
0446604089,The Best Laid Plans,Sidney Sheldon,1997
0312650248,Awakened,"P.C. Cast, Kristin Cast",2011
0399155813,Black Hills,Nora Roberts,2009
0380508567,The Foundation Trilogy,Isaac Asimov,1953
0385344422,Feverborn,Karen Marie Moning,2016
006091307X,The Crying of Lot 49,Thomas Pynchon,1966
0345373529,The Ruby Knight,David Eddings,1990
1414310609,The Healer,Dee Henderson,2002
0399151575,Naked in Death,J.D. Robb,1995
0752848267,The Next Accident,Lisa Gardner,2001
0316002569,Every Soul A Star,Wendy Mass,2008
0553805495,The Sugar Queen,Sarah Addison Allen,2008
0062325345,Flesh and Blood,Patricia Cornwell,2014
0446573051,The Forgotten,David Baldacci,2012
0060652896,A Grief Observed,C.S. Lewis,1942
0060572965,Dead Witch Walking,Kim Harrison,2004
0743225422,The Shipping News,Annie Proulx,1993
0865471185,West with the Night,Beryl Markham,1942
1594480869,Brilliance of the Moon ,Lian Hearn,2003
1476717095,Hidden Order,Brad Thor,2013
0671726528,Kon-Tiki Ekspedisjonen,Thor Heyerdahl,1948
067102082X,The Gun Seller,Hugh Laurie,1996
0440217490,A Dangerous Fortune,Ken Follett,1993
0062081012,Twisted,Sara Shepard,2011
0778316335,Little Mercies,Heather Gudenkauf,2014
0505523892,Dark Magic,Christine Feehan,2000
0545284139,The False Prince,Jennifer A. Nielsen,2012
0743466772,Chill Factor,Sandra Brown,2005
8433972618,Porno,Irvine Welsh,2005
0399155163,Scarpetta,Patricia Cornwell,2008
0425197387,Iceberg,Clive Cussler,1974
1402245793,Rock Hard,Olivia Cunning,2011
0141004924,The Teeth of the Tiger,Tom Clancy,2003
0425204200,Trace,Patricia Cornwell,2004
0099470470,The Collector,John Fowles,1963
0671019759,Dream Man,Linda Howard,1994
0684803860,The Daughter of Time,Josephine Tey,1951
0060502932,Going Postal,Terry Pratchett,2004
0763655996,This is Not My Hat,Jon Klassen,2012
0525953485,Six Years,Harlan Coben,2013
0375504877,Colonel Roosevelt,Edmund Morris,2010
0679783261,Pride and Prejudice,Jane Austen,1813
0385536976,Crazy Rich Asians,Kevin Kwan,2013
055358202X,A Feast for Crows,George R.R. Martin,2005
0062289241,Burn For Me,Ilona Andrews,2014
0552135399,A Prayer for Owen Meany,John Irving,1989
0786856920,Schooled,Gordon Korman,2000
2081354802,Soumission ,Michel Houellebecq,2015
0310321913,One Thousand Gifts,Ann Voskamp,2011
0394800206,"Go, Dog. Go!",P.D. Eastman,1961
0226320618,The Road to Serfdom,Friedrich A. Hayek,1944
014023313X,The Stone Diaries,Carol Shields,1993
0804141266,Vinegar Girl,Anne Tyler,2016
1937007472,King of Thorns,Mark  Lawrence,2012
0142437808,Ethan Frome,Edith Wharton,1911
0345543009,Turbo Twenty-Three,Janet Evanovich,2016
1423128206,Only the Good Spy Young,Ally Carter,2010
0312949804,Mine Till Midnight,Lisa Kleypas,2007
0582461502,Tortilla Flat,John Steinbeck,1935
1857236556,First King of Shannara,Terry Brooks,1996
1423140575,The Serpent's Shadow,Rick Riordan,2012
0312940661,When the Lion Feeds,Wilbur Smith,1964
0449911934,Rabbit Redux,John Updike,1971
0345300785,Enchanters' End Game,David Eddings,1984
014241493X,Paper Towns,John Green,2008
1416580956,Pleasure of a Dark Prince ,Kresley Cole,2010
1409151174,Red Queen,Victoria Aveyard,2015
0062286927,Snow Like Ashes,Sara Raasch,2014
0345412214,The Last Don,Mario Puzo,1996
0451188454,The Bone Collector,Jeffery Deaver,1997
0847829863,Storia della bruttezza,Umberto Eco,2007
0345476026,Await Your Reply,Dan Chaon,2009
0312147015,The Persian Pickle Club,Sandra Dallas,1995
0451465105,The Thousand Names,Django Wexler,2013
0671870114,Saving Grace,Julie Garwood,1993
0743457269,A Knight in Shining Armor,Jude Deveraux,1989
140130866X,If You Could See Me Now,Cecelia Ahern,2005
0451456726,Heir to the Shadows,Anne Bishop,1999
0312599072,inf,Sherrilyn Kenyon,2010
0738710180,Leaving Paradise,Simone Elkeles,2007
0778313077,Touch of Power,Maria V. Snyder,2011
0312187149,Enemy of God,Bernard Cornwell,1996
1573228737,Affinity,Sarah Waters,1999
0316176532,A God in Ruins,Kate Atkinson,2015
0143036696,The Mermaid Chair,Sue Monk Kidd,2004
0749942010,Sister,Rosamund Lupton,2010
0451228219,Covet,J.R. Ward,2009
0375727272,Lunar Park,Bret Easton Ellis,2005
0670038318,Sovereign ,C.J. Sansom,2006
0312353766,The Red Tent,Anita Diamant,1997
0399250565,Crocodile Tears,Anthony Horowitz,2009
0545040604,Runaway ,Meg Cabot,2010
0441104029,Children of Dune,Frank Herbert,1976
0571313248,The Girl in the Red Coat,Kate Hamer,2015
0440241901,Can You Keep a Secret?,Sophie Kinsella,2003
0060724692,Twilight,Meg Cabot,2005
1405092726,Revelation,C.J. Sansom,2008
0425200280,The Next Big Thing,Johanna Edwards,2005
0385721706,The Wisdom of Crowds,James Surowiecki,2004
1481200577,Significance,Shelly Crane,2011
0679735909,Possession,A.S. Byatt,1990
1569472025,Moab Is My Washpot,Stephen Fry,1997
034545894X,Body Double,Tess Gerritsen,2004
0345505670,Deception,Jonathan Kellerman,2009
0545298407,A King's Ransom,Jude Watson,2011
0099498596,Circle of Friends,Maeve Binchy,1990
1401323820,Heat Wave,Richard Castle,2008
0446359203,Carrion Comfort,Dan Simmons,1989
0786856866,The Sea of Monsters,Rick Riordan,2006
0679723110,Grendel,John Gardner,1970
1619630621,Crown of Midnight,Sarah J. Maas,2013
0316059862,Testimony,Anita Shreve,2008
0061147931,Heart-Shaped Box,Joe Hill,2007
1416914188,Raven Rise,D.J. MacHale,2008
057114456X,Nesmrtelnost,Milan Kundera,1990
1857988221,The Demolished Man,Alfred Bester,1953
0743219570,Cover Her Face,P.D. James,1962
0425233383,Something About You,Julie James,2010
0679783482,Shalimar the Clown,Salman Rushdie,2005
0553819879,Thorn Queen,Richelle Mead,2008
076790382X,Notes from a Big Country,Bill Bryson,1998
0451458265,The Wandering Fire,Guy Gavriel Kay,1986
1442413174,The Eternal Dawn,Christopher Pike,2010
0380752859,For Love of Evil,Piers Anthony,1988
0451199901,They Do it with Mirrors,Agatha Christie,1952
1250019699,Save the Date,Mary Kay Andrews,2014
0553283936,The Negotiator,Frederick Forsyth,1989
0671741039,Swan Song,Robert McCammon,1987
0425172902,The Hunt for Red October,Tom Clancy,1984
0312948557,Still Life,Louise Penny,2005
0451233166,"Lover Avenged, part two",J.R. Ward,2011
0451464400,Cold Days,Jim Butcher,2012
0778322858,Me & Emma,Elizabeth Flock,2005
0385342063,I've Got Your Number,Sophie Kinsella,2011
1619636042,Queen of Shadows,Sarah J. Maas,2015
0440238609,His Dark Materials,Philip Pullman,2000
0316094617,Forgotten,Cat Patrick,2011
0439858046,The Night is for Hunting,John Marsden,1998
1400096936,The Power of the Dog,Don Winslow,2005
9381626685,The Krishna Key,Ashwin Sanghi,2012
0446562424,Innocent,Scott Turow,2005
0689845367,The Tombs of Atuan,Ursula K. Le Guin,1970
1595549633,The Wedding Dress,Rachel Hauck,2012
0778316556,The Good Girl,Mary Kubica,2014
0099478420,The Heart of the Matter,Graham Greene,1948
0345468694,Blessings,Anna Quindlen,2002
1400067243,Lucky Us,Amy Bloom,2014
1439177724,I Am Pilgrim,Terry Hayes,2013
0425226743,Practice Makes Perfect,Julie James,2009
1250010713,The Silent Sister,Diane Chamberlain,2014
0805099247,The Heart of Betrayal,Mary E. Pearson,2015
0345520483,Dream Team,Jack McCallum,2012
0684832356,The Christmas Box,Richard Paul Evans,1993
0373776578,The Darkest Seduction,Gena Showalter,2012
1934137197,Tinkers,Paul Harding,2008
038531258X,Cold Sassy Tree,Olive Ann Burns,1984
0525422943,Where She Went,Gayle Forman,2011
0451209338,The Kill Artist,Daniel Silva,2000
0060765240,Map of Bones,James Rollins,2005
0446698873,The Black Dahlia,James Ellroy,1987
0723247706,The Tale of Peter Rabbit,Beatrix Potter,1901
1250121000,Behind Closed Doors,B.A. Paris,2016
0060525592,Fire and Ice,Erin Hunter,2003
0786939834,Exile ,R.A. Salvatore,1990
038561926X,Snuff,Terry Pratchett,2011
0316033677,The Way of Shadows,Brent Weeks,2008
0375706771,Midwives,Chris Bohjalian,1997
0375713344,Geek Love,Katherine Dunn,1989
0802122515,An Untamed State,Roxane Gay,2014
0142500593,Empress of the World,Sara Ryan,2001
1594486344,The Good Lord Bird,James McBride,2013
0007154615,Unless,Carol Shields,2002
0374187614,Lila,Marilynne Robinson,2014
0345457692,Altered Carbon,Richard K. Morgan,2002
0007423292,Prince of Thorns,Mark  Lawrence,2011
0375760377,Hawaii,James A. Michener,1959
0804137250,Armada,Ernest Cline,2015
0142004332,Maisie Dobbs,Jacqueline Winspear,2003
0439023491,Catching Fire,Suzanne Collins,2009
0689855532,What My Mother Doesn't Know,Sonya Sones,2001
0307265439,The Road,Cormac McCarthy,2006
0393318680,Filth,Irvine Welsh,1998
0399256768,Prodigy,Marie Lu,2013
030746363X,The 4-Hour Body,Timothy Ferriss,2000
0886774004,Arrow's Fall,Mercedes Lackey,1988
0425199320,Trojan Odyssey,Clive Cussler,2003
1606840592,Raised by Wolves,Jennifer Lynn Barnes,2010
1416524347,Pet Sematary,Stephen King,1983
0062065246,The Round House,Louise Erdrich,2012
0312348673,Love the One You're With,Emily Giffin,2008
0785729194,The Dragonriders of Pern,Anne McCaffrey,1968
0393325997,The Price of Salt,Patricia Highsmith,1952
0385334176,Deadeye Dick,Kurt Vonnegut Jr.,1982
0751505544,The Promise,Danielle Steel,1977
0140432078,On Liberty,John Stuart Mill,1859
0446611913,Up Country,Nelson DeMille,2002
0765317583,One Second After,William R. Forstchen,2009
038541305X,South of Broad,Pat Conroy,2009
1442409053,Wither,Lauren DeStefano,2011
0743273567,The Great Gatsby,F. Scott Fitzgerald,1925
0061139378,Coraline,Neil Gaiman,2002
0786839171,The Warrior Heir,Cinda Williams Chima,2006
0345484118,The Elves of Cintra ,Terry Brooks,2007
0451216954,Dark Lover,J.R. Ward,2005
006440174X,"Good Night, Mr. Tom",Michelle Magorian,1981
0143038109,The Kitchen God's Wife,Amy Tan,1991
1582349061,Enna Burning,Shannon Hale,2004
0399153934,Book of the Dead,Patricia Cornwell,2007
0345390407,The Hidden City,David Eddings,1994
0765326353,The Way of Kings,Brandon Sanderson,2010
0345468643,Pawn of Prophecy,David Eddings,1982
0316214442,Red Country,Joe Abercrombie,2012
0830737847,Peace Child,Don Richardson,1974
0373776985,Wicked Nights,Gena Showalter,2012
0380008319,Sign of the Unicorn,Roger Zelazny,1975
0441005837,Rose Daughter,Robin McKinley,1997
0385735332,The Warlock,Michael Scott,2011
1402271875,Stealing Parker,Miranda Kenneally,2012
1594202664,Washington: A Life,Ron Chernow,2010
0241003008,The Very Hungry Caterpillar,Eric Carle,1969
0345416260,Pope Joan,Donna Woolfolk Cross,1996
0345459210,The Flood,William C. Dietz,2003
006202468X,Wildwood,"Colin Meloy, Carson Ellis",2011
1594482225,The Areas of My Expertise,John Hodgman,2005
0099468190,Bleachers,John Grisham,2003
0330314920,Outer Dark,Cormac McCarthy,1968
0099465647,Frederica,Georgette Heyer,1965
0425198685,Pattern Recognition,William Gibson,2003
0375705104,The Way of Zen,Alan W. Watts,1957
044669651X,True Believer,Nicholas Sparks,2003
1416914307,City of Glass,Cassandra Clare,2009
0312368577,Many Waters,Madeleine L'Engle,1986
0152052216,East,Edith Pattou,2003
0312966091,Three to Get Deadly,Janet Evanovich,1997
110194661X,The Nix,Nathan  Hill,2016
0061138037,Black Magic Sanction,Kim Harrison,2010
0099435136,The First Wives Club,Olivia Goldsmith,1992
1423121295,Lost In Time,Melissa de la Cruz,2011
0553383043,A Wizard of Earthsea,Ursula K. Le Guin,1968
0393310329,Maurice,E.M. Forster,1971
0312274920,Round Ireland with a Fridge,Tony Hawks,1997
0142406120,Point Blanc,Anthony Horowitz,2001
038533351X,Bluebeard,Kurt Vonnegut Jr.,1987
0062059963,The Elite,Kiera Cass,2013
0312992629,The Blue Bistro,Elin Hilderbrand,2005
1250034515,Mightier Than the Sword,Jeffrey Archer,2015
0399256199,The Outcasts,John Flanagan,2011
1416983090,Thirst No. 2,Christopher Pike,2010
0679720227,La Chute,"Albert Camus, Justin O'Brien",1956
1451661509,The Silver Star,Jeannette Walls,2013
0747267634,To the Nines,Janet Evanovich,2003
0385738595,The Dark And Hollow Places,Carrie Ryan,2011
039915583X,Knit Two,Kate Jacobs,2007
0671720147,The Vor Game,Lois McMaster Bujold,1990
1841497762,Frostbitten,Kelley Armstrong,2009
0060897848,Vinegar Hill (P.S.),A. Manette Ansay,1994
1250077001,Furiously Happy,Jenny  Lawson,2015
006095955X,A Walk Across America,Peter Jenkins,1979
0440421241,The Prophet of Yonwood,Jeanne DuPrau,2006
0441014941,All Together Dead,Charlaine Harris,2007
0553344862,The River Why,David James Duncan,1983
0688170277,Wemberly Worried,Kevin Henkes,2000
0062048503,Eve,Anna Carey,2011
0142001619,Salt: A World History,Mark Kurlansky,2002
0718149122,This Charming Man,Marian Keyes,2008
042516098X,Hornet's Nest,Patricia Cornwell,1996
0871297485,Henry & Ramona,Cynthia J. McGean,1997
0452285933,Stolen,Kelley Armstrong,2002
076532153X,Among Others,Jo Walton,2011
1582701709,The Secret,Rhonda Byrne,2006
0060845546,The Boy Next Door (Boy #1),Meg Cabot,2002
1400095921,Dearly Devoted Dexter,Jeff Lindsay,2005
1400034205,The Razor's Edge,W. Somerset Maugham,1944
0670062278,The Two Pearls of Wisdom,Alison Goodman,2008
055327418X,Startide Rising,David Brin,1983
0553536516,Finding Audrey,Sophie Kinsella,2015
039474067X,Orientalism,Edward Said,1978
0060753943,Winning,"Jack Welch, Suzy Welch",1992
1904910033,You Can Win,Shiv Khera,1998
9735004100,Maitreyi,Mircea Eliade,1933
0743270371,Act of Treason,Vince Flynn,2006
0297854399,Life,Keith Richards,2010
0439568420,Say Cheese and Die!,R.L. Stine,1992
0812971671,Absurdistan,Gary Shteyngart,2006
0689821816,Copper Sun,Sharon M. Draper,2006
0307394956,Skeletons at the Feast,Chris Bohjalian,2008
0425190374,Practical Magic,Alice Hoffman,1995
0446533424,The Gate House,Nelson DeMille,2008
042527067X,Magic Shifts,Ilona Andrews,2015
0060773758,A Quick Bite,Lynsay Sands,2005
0451200187,Nemesis,Agatha Christie,1971
1250083214,Dirty,Kylie Scott,2016
1476792488,After,Anna Todd,2014
0439295785,Kidnapped,Robert Louis Stevenson,1886
1937007294,Fated,Benedict Jacka,2012
0553803190,Blackout,Connie Willis,2010
1439134340,Hard Magic,Larry Correia,2011
1250001544,Third Grave Dead Ahead,Darynda Jones,2012
0749935332,Blue Dahlia,Nora Roberts,2004
0425280101,Stars of Fortune,Nora Roberts,2015
0441014151,Accelerando,Charles Stross,2005
031606792X,Breaking Dawn,Stephenie Meyer,2008
0060653205,The Weight of Glory,C.S. Lewis,1949
014200202X,Casino Royale,Ian Fleming,1953
0751503894,The Physician,Noah Gordon,1986
0099481685,Skipping Christmas,John Grisham,2001
0553381652,The Plains of Passage,Jean M. Auel,1990
0099556316,Airframe,Michael Crichton,1996
1625173431,Clean Sweep,Ilona Andrews,2012
0380730359,"Gone, Baby, Gone",Dennis Lehane,1998
0449911659,"Rabbit, Run",John Updike,1960
0156421356,Homo faber: Ein Bericht,Max Frisch,1957
0312656270,Hades,Alexandra Adornetto,2011
0356504263,Babylon's Ashes,James S.A. Corey,2016
0553286285,Nemesis,Isaac Asimov,1989
0670011940,Along for the Ride,Sarah Dessen,2009
0060735430,Coyote Blue,Christopher Moore,1994
0399154914,Tribute,Nora Roberts,2008
0553293389,Foundation's Edge,Isaac Asimov,1982
0452297036,The Violets of March,Sarah Jio,2011
0060540745,Loser,Jerry Spinelli,2002
0571297889,Apple Tree Yard,Louise Doughty,2013
0373772327,The Darkest Kiss,Gena Showalter,2008
0143034359,The Well of Lost Plots,Jasper Fforde,2003
0545812542,George,Alex Gino,2015
0679749845,The Comfort of Strangers,Ian McEwan,1981
0141300515,I Am the Cheese,Robert Cormier,1977
0345338588,On a Pale Horse,Piers Anthony,1983
0345533623,Tricked,Kevin Hearne,2012
0349400202,"Envy (Fallen Angels, #3)",J.R. Ward,2011
1406321346,Clockwork Princess,Cassandra Clare,2013
0743482972,The Manchurian Candidate,Richard Condon,1959
014200068X,Cannery Row ,John Steinbeck,1945
147671777X,Inside the O'Briens,Lisa Genova,2015
1250031125,The Beautiful Mystery,Louise Penny,2012
031607991X,The Blinding Knife,Brent Weeks,2012
1481268503,Sometimes Never,Cheryl McIntyre,2012
0743421922,Look to Windward,Iain M. Banks,2000
0374292086,Wolf in White Van,John Darnielle,2014
1579126286,Evil Under the Sun,Agatha Christie,1941
1439178232,Forget You,Jennifer Echols,2010
071956896X,Sea of Poppies,Amitav Ghosh,2008
0439700884,Lady Friday,Garth Nix,2007
0425181103,Phantoms,Dean Koontz,1983
006008216X,Get Shorty,Elmore Leonard,1990
0312359667,Raven Black,Ann Cleeves,2006
0345457374,The Bonesetter's Daughter,Amy Tan,2001
0385333137,Black and Blue,Anna Quindlen,1998
0752885170,Dexter by Design,Jeff Lindsay,2008
9580469717,Aura,Carlos Fuentes,1962
0312650086,Enclave,Ann Aguirre,2011
0743474171,Perfect,Judith McNaught,1993
030720961X,Sahara,Clive Cussler,1992
055215430X,Night Watch,Terry Pratchett,2002
0062277022,LaRose,Louise Erdrich,2016
0061477958,House of Many Ways,Diana Wynne Jones,2008
0385732562,Gathering Blue,Lois Lowry,2000
1616201320,The Art Forger,B.A. Shapiro,2012
0684823780,Mere Christianity,C.S. Lewis,1952
0399157689,Stolen Prey,John Sandford,2012
0062310712,King's Cage,Victoria Aveyard,2017
1400032814,Diary,Chuck Palahniuk,2003
0393327345,Fight Club,Chuck Palahniuk,1996
0802132219,Train to Pakistan,Khushwant Singh,1956
0385344414,Burned,Karen Marie Moning,2015
0340936150,My Booky Wook,Russell Brand,2007
144477851X,Angelfall,Susan Ee,2011
0671729462,My Sweet Audrina,V.C. Andrews,1982
0060531827,Airborn,Kenneth Oppel,2004
0439846803,The Stonekeeper,Kazu Kibuishi,2008
0547887205,"Son (The Giver, #4)",Lois Lowry,2012
1455531189,You'll Grow Out of It,Jessi Klein,2016
1444736930,The Abduction,John Grisham,2010
0385524927,While My Sister Sleeps,Barbara Delinsky,2009
014100018X,Chocolat,Joanne Harris,1998
0671037706,Dandelion Wine,Ray Bradbury,1957
0061054887,The Dispossessed,Ursula K. Le Guin,1974
0345419634,The Tale of the Body Thief,Anne Rice,1992
159514319X,The Indigo Spell,Richelle Mead,2013
0553381644,The Mammoth Hunters,Jean M. Auel,1985
0765378558,Shadows of Self,Brandon Sanderson,2015
1402245858,Hot Ticket,Olivia Cunning,2013
0670024783,The Invention of Wings,Sue Monk Kidd,2014
0061043575,Whose Body?,Dorothy L. Sayers,1923
034089699X,Us,David Nicholls,2014
0375856110,Inheritance,Christopher Paolini,2011
141654383X,The Last Patriot,Brad Thor,2008
0345479726,Until I Find You,John Irving,2005
0062114611,Tiger Lily,Jodi Lynn Anderson,2012
0099282194,The Human Stain,Philip Roth,2000
0812521390,The Black Company,Glen Cook,1984
0399171622,The Rose & the Dagger,Renee Ahdieh,2016
0786943408,The Orc King,R.A. Salvatore,2007
0374299102,Home,Marilynne Robinson,2008
3822859710,Edvard Munch,Ulrich Bischoff,1990
0385721420,Three Junes,Julia Glass,2002
174275001X,A Cup of Friendship,Deborah Rodriguez,2011
0450610098,Nightmares & Dreamscapes ,Stephen King,1993
1582433224,A Complicated Kindness,Miriam Toews,2004
843391426X,Hollywood,Charles Bukowski,1989
055380717X,Never Look Away,Linwood Barclay,2010
0312362080,One for the Money,Janet Evanovich,1994
0857522272,Raising Steam,Terry Pratchett,2013
0553271989,The Odessa File,Frederick Forsyth,1972
0380732238,Junk,Melvin Burgess,1996
0515130389,Carolina Moon,Nora Roberts,2000
0345547497,Cop Town,Karin Slaughter,2014
159474758X,Library of Souls ,Ransom Riggs,2015
0515130974,The Visitor,Lee Child,2000
0802714625,Longitude,"Dava Sobel, Neil Armstrong",1995
1891830430,Blankets,Craig Thompson,2003
1581345283,This Present Darkness,Frank E. Peretti,1986
057507681X,A Scanner Darkly ,Philip K. Dick,1977
1594487014,The Chaperone,Laura Moriarty,2012
0451462807,Skinwalker,Faith Hunter,2009
0441016383,Princeps' Fury,Jim Butcher,2008
1250021529,If You Find Me,Emily Murdoch,2013
0385518684,The Secret Between Us,Barbara Delinsky,2008
0399171088,The Collector,Nora Roberts,2014
0425256855,Emperor of Thorns,Mark  Lawrence,2013
030795871X,The Engagements,J. Courtney Sullivan,2013
0446679089,Plum Island,Nelson DeMille,1997
0440235162,The Smoke Jumper,Nicholas Evans,2001
0439636485,Private Peaceful,Michael Morpurgo,2003
0778322335,A Perfect Evil,Alex Kava,2000
0553241605,Mila 18,Leon Uris,1961
1937044963,The Marriage Bargain,Jennifer Probst,2012
0505524473,Dark Fire,Christine Feehan,2001
0142003808,Drop City,"T.C. Boyle, Richard Poe",2003
0385339690,The Runaway Jury,John Grisham,1996
0439436567,Drowned Wednesday,Garth Nix,2004
0440235596,Tara Road,Maeve Binchy,1998
0345376048,The Feast of All Saints,Anne Rice,1979
0393068579,Stitches: A Memoir,David Small,2009
1501105434,A Window Opens,Elisabeth Egan,2015
0670026190,A Gentleman in Moscow,Amor Towles,2016
0425259862,Shadow Spell,Nora Roberts,2014
0345522028,Songs of Willow Frost,Jamie Ford,2013
1606840584,The Lost Saint,Bree Despain,2010
0062071041,Partials,Dan Wells,2012
0380730367,Prayers for Rain ,Dennis Lehane,1999
0425256766,Fire Touched,Patricia Briggs,2016
1482658143,A Different Blue,Amy Harmon,2013
078681859X,The Amulet of Samarkand,Jonathan Stroud,2003
0812532597,The Memory of Earth,Orson Scott Card,1992
9799822939,Supernova: Petir,Dee Lestari,2004
0679744398,All the Pretty Horses,Cormac McCarthy,1992
0765349655,Tyrannosaur Canyon,Douglas Preston,2005
0439670209,The Akhenaten Adventure,P.B. Kerr,2004
0061214655,Wicked Lovely ,Melissa Marr,2007
0060577312,Magyk,Angie Sage,2005
0440246113,Deeper than Midnight,Lara Adrian,2011
0812978188,Ragtime,E.L. Doctorow,1974
1250044650,Heartless,Marissa Meyer,2016
0886777631,City of Golden Shadow,Tad Williams,1996
0671027387,Deception Point,Dan Brown,2001
0425161242,Chromosome 6,Robin Cook,1997
0061340634,Run,Ann Patchett,2007
1632168146,Memory,Doug Lloyd,2015
0380776162,Lord of Scoundrels,Loretta Chase,1995
0698410424,Rebel of the Sands,Alwyn Hamilton,2016
1842430343,Skinny Legs and All,Tom Robbins,1990
0399154485,T is for Trespass ,Sue Grafton,2007
0062026488,The Girl of Fire and Thorns,Rae Carson,2011
0670038601,In the Woods,Tana French,2007
0312857063,Stone of Tears,Terry Goodkind,1995
0312655452,A Trick of the Light,Louise Penny,2011
0192750968,Beezus and Ramona,Beverly Cleary,1955
0765333511,The Human Division,John Scalzi,2013
1563054426,Barnyard Dance,Sandra Boynton,1993
0843956534,Dark Desire,Christine Feehan,1999
184724954X,Cleopatra's Daughter,Michelle Moran,2009
0425100650,Twilight Eyes,Dean Koontz,1984
1416968237,The Summer I Turned Pretty,Jenny Han,2009
0440234743,The Testament,John Grisham,1999
0812505182,The Magic of Recluce,L.E. Modesitt Jr.,1991
0385340117,The Year of Fog,Michelle Richmond,2006
0425243915,Archangel's Blade,Nalini Singh,2011
0345418468,The Wounded Land,Stephen R. Donaldson,1979
0451528824,Anne of Green Gables,L.M. Montgomery,1908
0141321318,The Eternity Code,Eoin Colfer,2003
1501126229,Lily and the Octopus,Steven  Rowley,2016
0440174244,"Rich Man, Poor Man",Irwin Shaw,1969
0380809060,The Great Book of Amber,Roger Zelazny,1999
0374104115,Acceptance,Jeff VanderMeer,2014
0515137111,Birthright,Nora Roberts,2003
1400068096,Open City,Teju Cole,2011
0446550000,Roses,Leila Meacham,2010
0062351206,The Queen,Kiera Cass,2014
0062026542,The Bitter Kingdom,Rae Carson,2013
0446607711,The Simple Truth,David Baldacci,1998
1501129740,End of Watch,Stephen King,2016
0060928417,La lenteur,"Milan Kundera, Linda Asher",1995
0843955848,The Colorado Kid,Stephen King,2005
0380718340,Cruel & Unusual,Patricia Cornwell,1993
0345478991,The Faithful Spy,Alex Berenson,2006
0439443822,Rules,Cynthia Lord,2006
1439142009,The Flamethrowers,Rachel Kushner,2013
0486424545,Howards End,E.M. Forster,1910
